"id","FRP"
45746,23.9
45747,14.55
45750,9.9
45751,5.8
45755,12.4
45758,24.9
45761,5.7
45763,12.3
45765,58.8
45766,23.5
45773,10.9
45774,9.4
45776,21.6
45777,32.45
45778,49.9
45779,48.6
45781,48.6
45782,12.1
46461,10.4
46462,24.5666666666667
46463,40.8
46467,6.2
46471,19.9
46472,32.2
46474,4.9
46480,6.1
46481,13.075
46484,34.4
46494,137.4
46495,61.5714285714286
46496,15.1
46498,18.7
46499,43.3
46500,66.3
46502,28.1
46508,22.1
46510,16.1
46511,12.9
46512,18.75
46513,17
46515,70.9
46516,13.6
46517,25.5
46518,14.6
46519,33.475
47196,25.2
47197,28.3
47198,84.5
47200,78.4
47202,270.7
47204,7.3
47208,49.1
47209,16.9
47218,19.05
47223,12.1
47228,31.9
47229,5.9
47230,26.6
47231,56.425
47232,72.8
47233,46.16
47234,30.3
47235,49
47236,35.075
47237,14.25
47245,71.7
47247,10.5
47248,10.1
47249,31.3333333333333
47250,78.9
47251,8.2
47252,56.5
47253,37.0333333333333
47254,22.3142857142857
47255,26.4714285714286
47256,22.1
47929,22.6333333333333
47935,13.1
47936,81.875
47937,48.55
47938,251.7
47942,10.1
47945,33.5
47946,30.7
47955,27.5
47957,54.4
47958,7.7
47959,17.825
47962,44.8
47967,32.1
47968,35.725
47969,27.55
47970,18.7666666666667
47971,14.2
47973,32.4
47975,39.8
47978,18.2
47979,18.9
47980,52.3
47981,21.1
47983,22.08
47984,21.8666666666667
47985,29.4
47987,14.78
47989,36.15
47990,22.975
47991,34.63
47992,28.99375
47993,27.325
48666,51.4
48667,10.25
48670,53.15
48671,27.8666666666667
48672,6.5
48673,24.4
48674,16.95
48676,11.6
48681,52.8
48682,41.5
48683,8.8
48686,31.2
48691,11.5
48693,13.9
48695,16.5
48698,13.9
48699,28.25
48703,14.25
48704,36.2333333333333
48705,34.2166666666667
48706,79.7333333333333
48707,35.0666666666667
48708,45.2
48709,37.7
48716,26.6
48717,18.76
48718,120.94
48719,39.5
48720,43.3
48721,32.4
48722,26.25
48723,33.88
48724,25.65
48725,74.35
48726,94.1
48727,6.9
48728,23.1625
48729,25.5384615384615
48730,18.6
49403,8.5
49404,7.8
49406,29.7
49408,47.7
49409,41.2
49411,29.6
49412,11.6666666666667
49413,38.05
49414,11.6
49417,28
49418,81.8
49420,102.6
49428,57.6
49429,36.55
49430,6.1
49431,34.5
49438,25.7
49440,27.6
49441,76.1
49442,28.6666666666667
49443,10.8
49444,26.875
49445,87.1333333333333
49446,43.95
49447,56.52
49448,59.5
49450,85.2
49452,9.8
49453,16.25
49454,33.9333333333333
49455,47.675
49456,44.15
49457,21.725
49458,26.675
49459,8.43333333333333
49460,16.025
49461,28.06
49462,59.2
49465,24.25
49466,27.7
49467,19
50141,21.1
50142,19.16
50143,19.1
50144,8.85
50147,10.5
50148,23.3
50149,38.7333333333333
50150,19.15
50151,12.05
50152,18.5
50155,61.9
50156,9.8
50166,16.7
50167,33.7
50175,8.9
50176,4.4
50177,14.55
50178,16
50179,12.4
50180,21.6
50181,102.05
50182,9.13333333333333
50183,21.4333333333333
50184,12.7571428571429
50185,22.2
50187,46.5
50188,43.95
50189,21.4
50190,59.8
50191,20.5
50192,46.5
50193,54.9
50194,97.16
50195,359.3
50197,51
50198,22.4
50202,20.25
50204,12.45
50878,8.15
50879,11.125
50880,5.7
50884,5.8
50885,11.3
50886,215.8
50889,16
50891,37.4
50892,27.45
50893,19.1
50897,33.5
50911,21.95
50914,96.6
50915,16.4666666666667
50916,149.85
50917,57.4
50918,126.225
50919,31.7
50920,25.6357142857143
50921,22.55
50922,26.2
50923,6.1
50924,14.2
50925,35.5714285714286
50926,24.6666666666667
50927,13.5
50928,67.25
50929,21.6
50930,49.6
50931,108.166666666667
50932,95.34
50933,149.85
50934,46.25
50935,23.85
50937,5.85
50939,26.3
50941,10.1
51616,15.3
51619,16.5
51621,4.5
51622,25.35
51623,66.3
51624,57.4
51625,13.1
51628,16
51642,125.7
51643,126.3
51644,172.5
51645,18.5
51646,13.5
51647,31
51648,15.05
51651,26.25
51652,22.05
51653,18.84
51655,15.9
51656,10.5333333333333
51657,52.1
51658,45.1
51659,41.5
51661,11.6
51662,19
51663,24.4
51664,30.1
51665,29.6
51666,78.775
51667,89
51668,39.25
51669,20.65
51670,29.1333333333333
51672,25
51674,23.45
52353,55.5
52354,39.4
52358,8.3
52360,53.5
52361,23.5
52365,9
52371,46.4
52372,49.3
52381,12.8
52382,10.9
52383,16.7
52387,33.1
52389,28.9
52390,50.75
52392,41.55
52393,51.7333333333333
52394,15.2
52395,18.7333333333333
52397,5
52399,21.8
52400,15
52402,39.55
52403,104.825
52404,114.4
52405,81.325
52406,20.5
52407,23.8
52408,40.2
52409,9.8
52410,79.6
53095,37.625
53096,30.075
53097,30.925
53098,56.7
53100,7.2
53104,5.2
53114,14.45
53117,38.85
53118,29.3
53119,17.4
53120,9.375
53124,3.8
53125,29.3
53126,45.2
53127,53.875
53128,8.2
53129,19.3
53130,299.7
53131,96.7
53132,60.8
53134,10.3
53140,50.45
53142,37.8
53144,153.866666666667
53145,58.8
53146,11.35
53147,18.5
53148,22.8
53831,17.8
53832,29.2571428571429
53833,39.32
53834,15.575
53835,14.24
53836,13.6
53840,42.7
53843,4.9
53855,14.6333333333333
53856,32.1
53857,7.53333333333333
53858,32.35
53859,13.3
53865,5.6
53866,220.4
53867,26.4
53868,88.95
53869,9.5
53870,12.4
53876,24.4
53877,126.8
53879,70.5333333333333
53880,145.1
53882,26.8
53883,48.4
53884,228.733333333333
53885,88.9
53887,12.4
53889,5.5
54569,23.175
54570,17.825
54571,33.8
54572,7.6
54577,20.825
54578,11.5
54579,11.46
54580,12.4
54581,26.5
54584,14.5
54589,4.8
54592,7.1
54593,9.2
54594,88.5
54595,24.28
54600,65.6
54601,30.65
54602,36.9
54603,17.6
54605,38.7
54606,55.2
54607,42.8
54613,7.1
54620,34.6
54621,13.2
54622,9.2
54623,14.7
54624,9
54626,13.3
55312,22.9
55314,22.8
55315,12.2
55317,12.3
55319,59.6
55321,50.7
55323,11.3
55325,41.3
55326,10.8
55327,7.9
55329,16.8
55337,12.7
55338,33.6
55339,32.3
55340,22.9
55342,20.1
55343,28.2
55344,21.2
55363,7.75
56048,10.7
56049,31.7333333333333
56050,18.4666666666667
56051,19.5
